id,accreditations,alternate_name,date_incorporated,description,email,funding_sources,legal_status,licenses,name,tax_id,tax_status,website
44,,MGH,,"Acute care medical facility with sixty-eight beds • 24-hour emergency service • Chaplain • Diagnostic imaging: nuclear medicine, ultrasound, X-ray, CAT scanning • Laboratory • Physical therapy • Respiratory therapy • Obstetrics • Surgery: inpatient and outpatient • Ophthalmology • Orthopedics • Pediatrics • Social work services/discharge planning • Oncology/chemotherapy.",,,,,"Mason General Hospital and Family of Clinics",91083676,,http://www.masongeneral.com
45,,"Matlock Communty Church",,"Food for persons in need. Food donated by Northwest Harvest in Seattle, local farms and community members. Types of food available varies from week to week.",,,,,"Matlock Food Bank",91-1229585,,
46,,MCMO,,"Ambulance Service:  Advanced life support units for all transportation needs for Mason County.  Medicaid and Medicare are accepted.  First Aid/CPR classes offered.",,,,,"Mason County Medic One",,,http://www.mcmo.org
47,,,,"A small food bank distributing to anyone in need in the Montesano area.",,,,,"Montesano Food Bank",911318048,,
48,,NMFB,,"Providing food assistance and referral services to residents living within the North Mason School District boundaries.",,,,,"North Mason Food Bank",943197896,,http://www.northmasonfoodbank.org
49,,OCS,,"Olympic College Shelton (OCS) serves Mason County.  OCS provides a variety of programs from GED preparation classes to vocational, technical and transfer degrees. Its full-service library provides study areas and tutoring spaces, as well as computers for library research.",,,,,"Olympic College Shelton",91-0823201,,http://www.olympic.edu/shelton
50,,,,"A food bank in Grays Harbor County open two days a month to residents of 98587, 98571 and 98562 zip codes.",,,,,"Pacific Beach Food Bank",911539340,,
51,,,,"Planned Parenthood provides information on all types of family planning, birth control, STD's and AIDS/HIV issues. They perform pregnancy tests, breast exams, STD testing, pap tests, pelvic exams and more. Teen Clinic. Take Charge Program.",,,,,"Planned Parenthood of the Great Northwest - Mason",91-0686012,,http://www.plannedparenthood.org
52,,"St. Vincent",,"Food bank in Ilwaco open 2nd and 4th Fridays 11-2. SVdP conference helps with emergent needs including Rx, food, utility bills, etc.",,,,,"St Vincent de Paul - Pacific",431999783,,
53,,"Saint's Pantry Food Bank",,"Food bank for low income and unemployed people of the Shelton community. Walk-in; no prior arrangements necessary.",,,,,"Saints Pantry Food Bank",270386653,,
54,,"Salvation Army",,"Offers validated emergency assistance to residents of Mason County.",,,,,"First Baptist Church",,,http://www.sheltonfbc.org
55,,SUMC,,"Food bank:
Call Mondays, 10am-10:30am. Pick up on Fridays at noon.  Emergency calls (those other than during hours listed above) must be referred from other agencies. Only one emergency basket allowed; subsequent use must be on the Mon/Fri schedule.",,,,,"Shelton United Methodist Church",,,
56,,"skokomish hope",,"Human services for Skokomish tribe members: State certified alcohol/drug treatment services. Counseling for at-risk youth and families. Educational services. Child welfare. Mental health. Head Start.",,,,,"Skokomish Indian Tribe",,,http://www.skokomish.org
57,,"Sunrise Outreach",,"Provides free clothing and household goods.  Donations accepted, but can only take small furniture.",,,,,"Son Rise Outreach",911282038,,
58,,SPIPA,,"Tribal chartered, non-profit consortium comprised of the Chehalis, Nisqually, Shoalwater Bay, Skokomish, and Squaxin Island Tribes formed to provide planning, technical assistance, fund raising, and direct services in response to the directives of the member Tribes and in support of each Tribe's sovereignty.",,,,,"South Puget Intertribal Planning Agency - Mason",,,http://www.spipa.org
59,,"Turning Pointe Domestic Violence Shelter",,"Our services include:
24 hour crisis advocacy, support, information and referral, safety planning, 24/7 Emergency  shelter support for victims,their children and their pets. One to one victim advocacy counseling for all domestic violence survivors. Bilingual advocacy to assist the Spanish-speaking community.
Legal advocate assisting domestic violence survivors with legal questions and paperwork including accompaniment to legal proceedings. Support groups for survivors English and Non-English speaking clients that examines the power and control dynamics of  relationships. Insights classes through DSHS provide basic domestic violence information and support through a series of six educational classes. Education and in-services workshops for survivors, the community and volunteers. Community referral and networking.
All Services are FREE and CONFIDENTIAL",,,,,"Turning Pointe Domestic Violence Services",912024833,,http://www.turningpointe.org
60,,"Willapa Counseling Center",,"The mission of Willapa Behavioral Health is to provide effective mental health and chemical dependency services to facilitate recovery, and to help clients reach their full potential personally, emotionally, and spiritually.",,,,,"Willapa Behavioral Health",911324228,,http://www.willapabh.org/
61,,WHMA,,"Food bank, utilities, medication, medical and other financial assistance.  Thrift store in Raymond, WA will provide 2 free outfits to needy individuals.",,,,,"Willapa Harbor Ministerial Association",,,
62,,,,"Sponsors of 4-H Program, Nutrition Education Program, Master Gardener, Water Resources Program,Small Farms Program and Mason County Noxious Weed Control.",,,,,"WSU Mason County Extension Office",,,http://ext100.wsu.edu/mason/
63,,KCHS,,"This Historical Society runs and maintains a museum primarily focused on Kitsap County.  They have educational programs and volunteer opportunities.  Regular meetings are held annually and they are open to the public and all who wish to join.  Call the above number for dates, times and more information.",,,,,"Kitsap County Historical Society",916049044,,http://www.kitsaphistory.org
64,,PTBR,,"The Boiler Room is a volunteer-operated coffeehouse and social services hub dedicated to building community by providing a safe space for the growth and improvement of individuals. Additionally, The Boiler Room features an arts and music venue.",,,,,"Boiler Room",911687052,,http://www.ptbr.org
65,,"Port Orchard Lions",,"The Lions Clubs motto is ""We Serve"".
Our duty is to determine the needs of our communities and recruit members with the knowledge and skills to meet those needs.

A partial list of projects include:
- Camp Leo for Children with Diabetes
- Project New Hope - Weekend retreats for returning veterans and their families.
- Several projects to restore sight or prevent sight related problems including preschool vision screening, eye exams, glasses, and surgery.
- Programs for Hearing health and providing hearing screening, exams, and hearing aids.
- Youth exchange, peace poster, scholarship, and essay programs.
- Lions Quest is available to schools for free and provides curriculum additions to promote healthy living without bullying, gangs, or drugs.",,,,,"Lions Clubs - Kitsap",,,http://www.md19clions.org
66,,"Sequim Valley Lions",,"The Lion's Club helps low income residents obtain eyeglasses, vision exams, and hearing aids.  They can arrange for seeing eye dogs, coordinate with the University of Washington Eye Bank Program and a local physician for organ donations. They can also provide information and referrals.  Eligibility is determined on an individual basis. When funds are low, priority is given to youth.  They also participate in a vast variety of projects important to their communities. These projects range from cleaning up local parks to providing supplies to victims of natural disasters.",,,,,"Lions Club - Clallam",,,http://www.lionsclub.org
67,,"Pregnancy Resource Center",,"Offers free, confidential, pregnancy tests (on site, urine test only); counseling, accurate information on pregnancy, prenatal development, adoption and the methods and risks of abortion.  Parenting education program for men and women which offers mentoring, maternity and baby supplies, and clothing. Referrals to local area churches, community agencies and post-abortion counseling.",,,,,"Pregnancy Resource Services",94-3097958,,http://www.prskitsap.org
68,,"Kitsap PFLAG",,"PFLAG promotes the health and well-being of gay, lesbian, bisexual and transgendered persons, their families and friends through: support, to cope with an adverse society; education, to enlighten an ill-informed public; and advocacy, to end discrimination and to secure equal civil rights.  Parents, Families, and Friends of Lesbians and Gays provides opportunity for dialogue about sexual orientation and gender identity, and acts to create a society that is healthy and respectful of human diversity.",,,,,"Kitsap PFLAG",911657341,,http://kitsappflag.blogspot.com/
69,,"Share Net",,"Food Bank and Thrift Store",,,,,Sharenet,,,http://www.sharenetfoodbank.org/
70,,,,"This is an outreach of Spirit of Life Lutheran Church.  Food is provided on an emergency basis to qualifying residents of rural South Kitsap County up to once per month.  Clothing is also available.  You will need to provide proof of address (something mailed to your home) and a drivers license or some pictured ID.  If requesting food for children, please provide child's birth date.  All information is kept confidential.",,,,,"Spirit of Life Lutheran Church",,,http://www.spiritoflifelutheran.com
71,,"OA Clallam",,"A 12-step program for compulsive overeaters. Online support groups are available. No dues, fees, or weigh-ins.",,,,,"Overeaters Anonymous - Clallam",,,
72,,BHA,,"The Housing Authority of the City of Bremerton's mission is to attempt to relieve the shortage of safe, decent and affordable housing available to low income persons; to create opportunities for residents; to increase their self sufficiency and independence; and to ensure fiscal integrity in all of the programs it administers.
",,,,,"Bremerton Housing Authority",,,http://www.bremertonhousing.org
73,,,,"Financial and referral assistance for various needs for children with special needs or disease ages birth to 18 years.",,,,,"A Gift For Special Children",,,http://www.agiftforspecialchildren.org
74,,Adopt-a-Pet,,"No kill dog rescue, shelter and care for homeless dogs. Veterinary care, spay and neuter. Will relocate animals anywhere.",,,,,"Adopt a Pet",91-1088679,,http://www.adoptapet-wa.org
75,,HHHH,,"Medicare certified, non-profit providing home health and hospice services in Grays Harbor and Pacific counties.",,,,,"Harbors Home Health and Hospice",,,http://myhhhh.org
76,,AA,,"Hotline provides information on alcohol abuse and location of AA, Alateen meetings in Kitsap County ONLY.  Call above for more information.",,,,,"Alcoholics Anonymous District 10",,,http://www.dist10.org
77,,,,"Free clothes available to those who can use them. Open to everyone.",,,,,"Adventure of Faith Church",,,http://www.faithadventure.com
78,,"St Andrews Place",,"St. Andrew's Place is a 40 unit non-profit assisted living community nestled in the shadow of the Olympic Mountains in Port Angeles, WA.",,,,,"St Andrew's Place",943160031,,http://www.standrewsretirement.org
79,,"Compassionate Care",,"This is a Faith-based private agency for licensing, visitation programs for DSHS and private individuals.",,,,,"Compassionate Ministries",,,
80,,SeaMar,,"Sea Mar is a community based non-profit organization dedicated to providing comprehensive health care services to residents of Kitsap and Grays Harbor Counties. Designed to assist clients in maintaining an independent lifestyle by assuring that their daily needs for personal care and a safe, clean environment are met.",,,,,"Sea Mar Community Health Center - Grays Harbor",,,http://www.seamar.org
81,,"Grays Harbor Crisis Clinic",,"24/7 Services for: Crisis Telephone Line, Residential Crisis Stabilization Unit, Crisis Intervention and Crisis Counseling, Crisis Outreach, Civil Committment(ITA/DMHP) Services.",,,,,"Grays Harbor County Crisis Clinic",910666889,,
82,,"Jonah Open Youth Center",,"Our social welfare program seeks to enhance the social functioning of all groups by providing help and support in a wide variety of personal and social difficulties, thereby increasing the capacity for problem-solving and coping, while helping with obtaining needed resources--facilitating interaction between individuals, their environments, and their communities.",,,,,"Salvation Army - Grays Harbor",91-0565002,,http://aberdeen.salvationarmynw.org
83,,"United Way - Pacific",,"To unite people and resources to build a stronger, healthier Grays Harbor.",,,,,"United Way of Grays Harbor and Pacific Counties",91-0668368,,http://www.unitedway-wa.org/grays/
84,,"GM Lauridsen Charity Trust Fund",,"Provides aid, in the form of grants and loans, to deserving widows in Clallam County. Money can be used for many purposes including medical needs, rent and utility payments. Call to apply.  Contact person is Douglas Holst at the above number.",,,,,"G.M. Lauridsen Charity Trust Fund",,,
85,,IBC,,"This church hosts a free Clothes Closet. Gently used clothes in all sizes for the community.  The church can also provide a three-day food that is available for emergency use only, on a monthly basis.  The Closet is staffed by volunteers, presently only on Wednesday from 10am-2pm. Food bags (if they have sufficient donations) are available Tuesdays-Friday, 10am-2pm. Call for more information.",,,,,"Independent Bible Church",,,http://www.indbible.org
86,,"HOPE INC",,"A full service youth outreach program focusing on services and activities for street and homeless youth in Kitsap County.",,,,,"Coffee Oasis",91-1745050,,http://www.thecoffeeoasis.com
87,,CAPS,,"On-base social service organization whose goal is to improve the quality of life for the Navy member and family through Counseling, Family Advocacy, Deployment Support, Command Support, New Parent Support and Work and Family Life Programs-Transition Assistance, Relocation, Personal Financial Management, Family Employment Readiness, Life Skills Education and Exceptional Family Member Program.",,,,,"Fleet and Family Support Program",,,http://www.navylifepnw.com
88,,"Clallam Public Utility District",,"This program promotes weatherization measures for site built and mobile homes built before 1992.  Low interest loans are also available for this work.  This program is NOT for new construction.  Rebates are available for qualifying homes to pay for a portion of windows, qualifying heat pumps and for other energy efficient measures (to include some appliances).",,,,,"Clallam County PUD",91-6001041,,http://clallampud.net
89,,"Take Charge",,"Kitsap Public Health District has been protecting the health of our county’s residents since 1942. The mission of KPHD is to prevent disease and protect and promote the health of all persons in Kitsap County. A seven-member Public Health Board, composed of county and city elected officials, governs the work done by approximately 100 individuals in community health, environmental health, and administration.",,,,,"Kitsap Public Health District",42-1689063,,http://www.kitsappublichealth.org
90,,"Alzheimers Caregiver Support Group",,"This Alzheimer’s Association supported group provides a confidential, comfortable setting for family members/caregivers of individuals with Alzheimer’s disease to share experiences, discuss concerns and obtain information about resources.",,,,,"Alzheimer's Caregivers Support Group",,,
91,,CKFB,,"Provides food to those who live or work in the Central Kitsap school district. Visits for food are one per month; additional visits available on a case by case basis. Requirements are proof of address and photo ID. Not an appropriate referral for shelter or utilities assistance.",,,,,"Central Kitsap Food Bank",911425561,,http://www.ckfoodbank.org
92,,"Dream Center",,"Serenity House is dedicated to preventing and ending homelessness in Clallam County. Multiple agency programs provide very low income homeless families and individuals with services including prevention assistance, emergency shelter, transitional housing, and permanent supportive housing plus appropriate supportive services, including life and employment-readiness skills training to build self-sufficiency. Serenity House is the lead agency of the Shelter Providers Network of Clallam County; works collaboratively with other entities; advocates for safe, decent, and affordable housing; is the leader in developing and implementing the Ten Year Plan to End Homelessness in Clallam County; and is nationally recognized as a leader in addressing homelessness in rural communities.  Intake is though three Housing Resource Centers.",,,,,"Serenity House of Clallam County",911180069,,http://www.serenityhouseclallam.org
93,,,,"A veterans service organization that assists veterans and their families.",,,,,"American Legion - Poulsbo",,,"http://alpost245.org "
94,,VFW,,"This organization screens applicants to determine eligibility for financial help with rent, utilities and some funeral expenses.",,,,,"Veterans of Foreign Wars",,,http://www.vfw.org
95,,CSD,,"Contact Chimacum School District for telephone numbers and locations, information regarding school closures, administration, attendance, athletics, parent teacher information, school supply lists, school boards, school musicals, etc.",,,,,"Chimacum School District",,,http://www.chimacum.wednet.edu/
96,,"Chuckwagon Dinners",,"Meals on Wheels Kitsap, founded in 1973, is a private nonprofit organization dedicated to providing nutritious, well-balanced meals and more to seniors, 60 years of age and older throughout Kitsap County. Program services include serving hot, nutritious meals weekdays at eight community dining sites, delivery of healthy, well-balanced meals to medically homebound seniors, nutrition education and dietary counseling for established clients and coordination of the Senior Farmers Market Nutrition Program between June and October annually.",,,,,"Meals on Wheels Kitsap",91-1197374,,http://www.mealsonwheelskitsap.org
97,,,,"International support group for parents of deceased children of any age.  This is not an appropriate referral for siblings, children or spouses of deceased. Provides emotional support to those going through the crisis of loss. Nondenominational. Books, pamphlets, newsletters, monthly meetings available. No fees. Meetings are held the 3rd Tuesday of each month at 7:00PM, at the Central Kitsap Presbyterian Church, 9300 Nels Nelson Road, Bremerton 98311.  International phone number: (877)969-0010",,,,,"Compassionate Friends of Kitsap County",,,
98,,"Agape' Unlimited",,"Agape provides drug and alcohol diagnostic evaluations, DUI assessments, deferred prosecution programs, alcohol and drug information school, intensive out-patient, group, individual, and family counseling. This program also has housing available for men and women and their families while they are undergoing treatment, whether the treatment is with them or with another center. Native Americans are their focus, but they do serve everyone. Certified counselors are available for chemical dependency issues.",,,,,"Agape Unlimited",91-1385373,,http://www.agapekitsap.org
99,,"ALS Peninsula Support Group",,"This is a support group for those who have ALS (Amyotrophic Lateral Sclerosis or Lou Gehrig Disease), family members and those interested in finding out more about this disease.  They meet on the first Thursday of the month.  Individuals at this phone number also travel to Clallam and Jefferson counties for home visits and resource information.",,,,,"ALS Silverdale Support Group",911950869,,http://www.alsa-ec.org
100,,,,"Kitsap County offers a variety of services that can be reached through this number: Administrative Services,  Assessor,  Auditor, Clerk, Commissioners, Community Development, Coroner, District Court, Court House Facilitator, Probation, Parks & Recreation, Sheriff's Office,  Superior Court,  Jury Recording/Daily,  Jury Clerk, Treasurers Office, Fire Marshal, Personnel/ Human Services, Kitsap County Jobline, Child Support/Paternity, and Juvenile Court and Services.",,,,,"Kitsap County Government",,,http://www.kitsapgov.com/
101,,NAMI,,"An alliance and support group for the mentally ill and for advocates, friends, and family of the mentally ill of Clallam County (on the Olympic Peninsula).Please call and leave a message and calls will be returned.",,,,,"National Alliance on Mental Illness of Clallam County",,,http://www.namiclallam.org
102,,NAMI,,"NAMI is a volunteer, non-profit, self-help organization composed of families and friends of persons who have a mental illness and persons living with mental illness themselves.NAMI offers support that helps families, caregivers, and clients develop the skills and strengths they need to cope with a mental illness. Meetings are the first and third Wednesday of every month from 7-9PM at Jefferson Mental Health Services in Port Townsend.",,,,,"National Alliance on Mental Illness of Jefferson County",,,http://www.namijeffcowa.org
103,,NAMI,,"NAMI is a volunteer, non-profit, self-help organization composed of families and friends of persons who have a mental illness and consumers of mental health services. They offer support that helps families develop the skills and strengths they need to cope with a mental illness. NAMI presents free education classes for families of the mentally ill throughout the year.",,,,,"National Alliance on Mental Illness of Kitsap County",943081956,,http://www.namikitsap.org
104,,BIHH,,"Bainbridge Island Helpline House offers an umbrella of social services at no charge, including professional crisis intervention, assessment, resource referral and advocacy.  Volunteer services include food bank, clothing, and medical equipment loan. While Island residents are the main focus, Helpline House also assists residents from Suquamish, Kingston, and Indianola through access to clothing, limited food bank use and when available, financial support for housing and energy costs.",,,,,"Bainbridge Island Helpline House",91-0902503,,http://www.helplinehouse.org
105,,BISD,,"Contact Pam Keyes at 206-780-1398 or find information on the school district website, www.bisd303.org for specific Bainbridge Island school telephone numbers and locations, information regarding school closures, administration, attendance, athletics, parent teacher information, school supply lists, school boards, school musicals, etc.",,,,,"Bainbridge Island School District",,,http://www.bisd303.org
106,,BIHS,,"Their mission is collecting, preserving and interpreting the colorful history of Bainbridge Island.  Promoting  Island history,  preservation and sponsors the museum.  Volunteer opportunities available plus memberships.",,,,,"Bainbridge Island Historical Society",911037866,,http://www.bainbridgehistory.org
