id,organization_id,accessibility,admin_emails,alternate_name,description,email,languages,latitude,longitude,name,transportation,virtual,website
23,14,,,,"No description",ann.simpson@forksabuseprogram.org,,47.949984,-124.3873111,"Forks Abuse Program","From N Forks Ave (Highway 101)  turn west onto A St SW.  Located on the corner of A St SW and 2nd Ave.",FALSE,
24,15,,,,"No description",1107-BR@laborready.com,,47.6075396,-122.6311774,"Labor Ready","Located in the Redwood Plaza on NE Riddell Rd at the intersection with Wheaton Way.",FALSE,
25,16,,,,"No description",peninsulas211@gmail.com,,,,"Peninsulas' 2-1-1","From Highway 303 turn east onto Riddell Rd.  Turn left onto Almira Dr.  Turn left into the KMHS parking lot.",FALSE,
26,17,,,,"No description",,,46.9776217,-123.8195732,"Aberdeen Community Food Bank","Located on the corner of North I St and East 2nd St. in Aberdeen, WA",FALSE,
27,18,,,,"No description",,,47.214017,-123.101458,"Veterans Service Office - Mason County","Located in Memorial Hall on at the corner of 2nd and Franklin.",FALSE,
28,19,,,,"No description",harkovitchd@bgcsps.org,,47.4143095,-122.8435512,"Boys and Girls Club of South Puget Sound - North Mason","Next to NMSD Administration building and PACE Academy.",FALSE,
29,20,,,,"No description",carenet@hctc.com,,47.224378,-123.121308,"Care Net Pregnancy Center of Mason County","From Olympic Highway N take East on ""J"" St. (at Shelton Vet Clinic) and right left onto Jefferson St. 
",FALSE,
30,21,,,,"No description",,,46.9819757,-123.594535,"Children's Advocacy Center of Grays Harbor","From E Pioneer Ave turn north on S Academy St.  Turn left on E Broadway Ave.",FALSE,
31,22,,,,"No description",,,47.2250535,-123.1262147,"DSHS - Division of Children and Family Services - Mason","From Highway 101 turn east onto E Wallace Kneeland Blvd, then turn right onto Olympic Highway N.",FALSE,
32,23,,,,"No description",tammy.engel@gmail.com,,46.277053,-123.948115,"Friends of the Chinook School","Located along Highway 101.  Parking available on Evelyn Rd.",FALSE,
33,24,,,,"No description",sheesuneek@gmail.com,,47.11395,-124.171413,"Copalis Community Church Food Bank","From Highway 109 in Copalis near Hopkins St.",FALSE,
34,25,,,,"No description",dvcenter@techline.com,,46.975892,-123.870736,"Domestic Violence Center of Grays Harbor","Located on the corner of Sumner Ave and 23rd St.",FALSE,
35,26,,,,"No description",,,48.0245551,-122.764754,"Jefferson County Sheriff's Office","From Port Hadlock take Chimacum Rd south.  Turn left onto Elkins Rd.",FALSE,
36,27,,,,"No description",faithinaction@wavecable.com,,47.4514183,-122.8264432,"Faith in Action West Sound","Call for more information.",FALSE,
37,27,,,,"No description",FaithinAction@wavecable.com,,47.454747,-122.826399,"Faith in Action Thrift Store","From Highway 3 turn onto Old Belfair Highway (Highway 300).  Turn right after NE Old Clifton Rd.",FALSE,
38,28,,,,"No description",info@habitatmasonwa.org,,47.2121711,-123.1020325,"Habitat for Humanity of Mason County","Located near the KMAS Radio Station.",FALSE,
39,28,,,,"No description",restoremgr@habitatmasonwa.org,,47.2119996,-123.1017572,"Habitat for Humanity of Mason County - Shelton Habitat Store","Located at the corner of W Cota and S 2nd St by Sentry Mini Storage.",FALSE,
40,28,,,,"No description",,,47.4387574,-122.835235,"Habitat for Humanity of Mason County - Belfair Habitat Store","Located on Highway 3 south of the Theler Community Center.",FALSE,
41,29,,,,"No description",info@harmonyhill.org,,47.3484233,-123.0619152,"Harmony Hill Retreat Center","From the north, Harmony Hill is on the left 5 miles past Twanoh State Park just before you reach Alderbrook Resort. From the south, Harmony Hill is on the right approximately one ""city block"" past Alderbrook Resort.",FALSE,
42,30,,,,"No description",,,47.213873,-123.108794,"Health Care Center","Located on the corner of W Railroad Ave and N 8th St.",FALSE,
43,31,,,,"No description",rkthomp@hctc.com,,47.405982,-123.146166,"Hood Canal Food Bank","Located in Hoodsport Community Hall Adjacent to Fire District 1 Fire Station, One block W of Lumbermens in Hoodsport.",FALSE,
44,32,,,,"No description",,,46.9760643,-123.8863064,"Hoquiam Food and Clothing Bank","Located on the corner of 8th and K Street on the Backside of Masonic Bldg.",FALSE,
45,33,,,,"No description",info@humanesocietyofmasoncounty.com,,47.4402241,-122.8345655,"Humane Society of Mason County","Located off Highway 3 in the Theler building.",FALSE,
46,34,,,,"No description",,,47.2331028,-123.9592298,"Humptulips Food Bank","From Highway 101 go west on Kirkpatrick Rd, turn right on McAfee Rd.",FALSE,
47,35,,,,"No description",webmaster@sp-mc.com,,47.0069302,-123.3918358,"Summit Pacific Medical Center","From WA-8 West take the Elma High 12 exit.  Turn north, then left onto E Main St.",FALSE,
48,35,,,,"No description",,,47.0558851,-123.2604465,"Summit Pacific Medical Center - Mark Reed Healthcare Clinic","From WA-8 West (toward Montesano) or WA-8 East (toward Olympia).  Take Mox Chehalis Road ramp toward McCleary.  At the Stop Sign, Turn Left onto William-McCleary Road , which becomes S 3rd Street.  Go past the school and down the hill into downtown.  Turn",FALSE,
49,35,,,,"No description",webmaster@sp-mc.com,,47.004754,-123.392523,"Summit Pacific Medical Center - Elma Family Medicine","From WA-8 West take the Elma High 12 exit.  Turn north, then left onto E Main St.",FALSE,
50,36,,,,"No description",theler@hctc.com,,47.4402241,-122.8345655,"Mary E Theler Community Center","Located on State Route 3 near the south end of Belfair.",FALSE,
51,37,,,,"No description",tammiw@co.mason.wa.us,,47.2572263,-123.150032,"Mason County Emergency Management","On Highway 101 travel north of the Mason County Fairgrounds and Sanderson Airfield.  TUrn left onto W Dayton Airport Rd.  Turn right onto W Public Works Dr.",FALSE,
52,38,,,,"No description",,,47.2159703,-123.1056284,"Mason County Public Health","Located on the corner of N 6th and W Pine Streets.",FALSE,
53,38,,,,"No description",,,47.2159703,-123.1056284,"Mason County Public Health - Department of Community and Family Health","Located on the corner of N 6th and W Pine Streets.",FALSE,
54,39,,,,"No description",staff@soundlearning.co,,47.2128684,-123.1010605,"Sound Learning","Located on the corner of 2nd St and Railroad Ave in downtown Shelton.",FALSE,
55,40,,,,"No description",info@mcsac.net,,47.2072338,-123.1344834,"Mason County Senior Activities Association","From W Railroad Ave / W Shelton Matlock Rd / Highway 101 interchange turn right onto W Hulbert Rd.  Turn left onto Sentry Dr.",FALSE,
56,41,,,,"No description",dnielsen@hcc.net,,47.2055843,-123.0987067,"Crossroads Housing","Located off Olympic Highway S (Highway 3) between Fairmount and E Harvard Avenues.",FALSE,
57,42,,,,"No description",mcta@masontransit.org,,47.2407032,-123.1010861,"Mason County Transit Authority","From Olympia, Take Hwy 101 to Wallace-Kneeland Exit.  Turn Right on Wallace-Kneeland Blvd.  Wallace-Kneeland Blvd. turns into John's Prairie Road at the 4-way stop.  Mason Transit is located on the right hand side approximately 1 mile forward.",FALSE,
58,43,,,,"No description",,,47.214112,-123.0997311,"Mason County Youth Programs","Located across from Dairy Queen.",FALSE,
59,44,,,,"No description",,,47.227222,-123.115678,"Mason General Hospital - Mountain View Women's Health Clinic","Located on Kati Court between East K St and N Sherwood Ln near Mason General Hospital.",FALSE,
60,44,,,,"No description",,,47.225613,-123.1137451,"Mason General Hospital - Shelton Family Medicine","Located across Mountain View Dr from Mason General Hospital.",FALSE,
61,44,,,,"No description",,,47.2265196,-123.1131857,"Mason General Hospital - Shelton Orthopedics","Located next to Shelton Family Medicine and Mason General Hospital.",FALSE,
62,44,,,,"No description",webmaster@olympicphysicians.com,,47.2247919,-123.1110547,"Mason General Hospital - Olympic Physicians","Located next to Mason General Hospital across N 13th St.",FALSE,
63,44,,,,"No description",,,47.2262843,-123.1118892,"Mason General Hospital - Family Health","Located across N 13th St From Mason General Hospital.",FALSE,
64,44,,,,"No description",,,47.227222,-123.115678,"Mason General Hospital - Eye Clinic","Located on Kati Court between East K St and N Sherwood Ln near Mason General Hospital.",FALSE,
65,44,,,,"No description",,,47.225613,-123.1137451,"Mason General Hospital","Located off N 13th St.",FALSE,
66,44,,,,"No description",,,47.2262843,-123.1118892,"Mason General Hospital - Ankle and Foot Clinic","Located across N 13th St from Mason General Hospital.",FALSE,
67,44,,,,"No description",,,47.224824,-123.110346,"Mason General Hospital - Oakland Bay Pediatrics","From N 13th St turn away from Mason General Hospital onto Professional Way.",FALSE,
68,45,,,,"No description",,,47.2357711,-123.4074129,"Matlock Food Bank","Located in the Matlock Community Church south of the Matlock-Brady Rd and W Shelton Matlock Rd intersection.",FALSE,
69,46,,,,"No description",kymyates@mcmo.org,,47.2226519,-123.119914,"Mason County Medic One","Located a the corner of Jefferson and East G Streets.",FALSE,
70,47,,,,"No description",,,46.9825369,-123.6026181,"Montesano Food Bank","From Olympic Highway 12 take the S Main St exit north.  Turn left on W Spruce Ave.",FALSE,
71,48,,,,"No description",nmfoodbank998528@wavecable.com,,47.434893,-122.841434,"North Mason Food Bank","Located in Belfair, south of SW Lake Flora Rd and north of State Route 106 next to the Belfair Water District Bldg.",FALSE,
72,49,,,,"No description",sheltoncampus@olympic.edu,,47.2292386,-123.1107754,"Olympic College - Mason","Located on W Alpine Way off E Brockerdale Rd.  Located north of Mason General Hospital.",FALSE,
73,50,,,,"No description",,,47.2242292,-124.2089421,"Pacific Beach Food Bank","Distribution takes place in the parking lot of the Fire District #8.",FALSE,
74,51,,,,"No description",,,47.2250535,-123.1262147,"Planned Parenthood of the Great Northwest - Mason","From Highway 101 take E Wallace-Kneeland Blvd and turn onto Olympic Highway N.",FALSE,
75,52,,,,"No description",svdprv@yahoo.com,,46.336333,-124.054431,"St Vincent de Paul - Pacific","Operates out of St Mary's Catholic Church.  Call for assistance.",FALSE,
76,52,,,,"No description",svdprv@yahoo.com,,46.3083839,-124.043054,"Saint Vincent DePaul Society - Food Bank","The food bank entrance is located across from the Ilwaco Columbia Pacific Museum on the 200 block of Lake St.  A sign will be posted when the food bank is open.",FALSE,
77,53,,,,"No description",,,47.2117614,-123.1015001,"Saints Pantry Food Bank","Located near the corner of 2nd and Cota Streets.",FALSE,
78,54,,,,"No description",,,47.212609,-123.104528,"First Baptist Church","From W Railroad Ave take 4th St south one block to W Cota St.",FALSE,
79,55,,,,"No description",,,47.2236979,-123.114059,"Shelton United Methodist Church","Located on the corner of King St and East F St near Mason General Hospital.",FALSE,
80,56,,,,"No description",,,47.3284722,-123.1542418,"Skokomish Indian Tribe - Higher Education Department","From Highway 101 turn onto Highway 106 by the Hood Canal School District.  Turn right onto N Reservation Rd.",FALSE,
81,56,,,,"No description",,,47.3283303,-123.1542009,"Skokomish Indian Tribe - Skokomish Public Safety","From Highway 101 turn east onto Highway 106, then turn north onto N Reservation Rd.",FALSE,
82,56,,,,"No description",,,47.3280511,-123.1545381,"Skokomish Indian Tribe - Skokomish Head Start and Childcare","From Highway 101 turn onto Highway 106 by the Hood Canal School District.  Turn right onto N Reservation Rd.",FALSE,
83,56,,,,"No description",,,47.3221601,-123.1456352,"Skokomish Indian Tribe - Tribal Center","From Highway 101 turn onto Highway 106 by the Hood Canal School District.  Turn left onto N Tribal Center Rd.",FALSE,
84,56,,,,"No description",,,47.3258853,-123.1507135,"Skokomish Indian Tribe - Tuwaduq Family Services","From Highway 101 turn onto Highway 106 by the Hood Canal School District.  Turn left onto N Tribal Center Rd.",FALSE,
85,56,,,,"No description",,,47.3223533,-123.1460626,"Skokomish Indian Tribe - Skokomish Health Clinic","From Highway 101 turn onto Highway 106 by the Hood Canal School District.  Turn left onto N Tribal Center Rd.",FALSE,
86,57,,,,"No description",,,47.2118759,-123.101244,"Son Rise Outreach","Located by W Cota and 2nd Streets.",FALSE,
87,58,,,,"No description",,,47.124049,-123.083576,"South Puget Intertribal Planning Agency - Mason","McCleary exit from 101 North travel east to top of the hill.",FALSE,
88,59,,,,"No description",turningpointe@earthlink.net,,,,"Turning Pointe - Domestic Violence Services","Call for more information.",FALSE,
89,60,,,,"No description",,,46.6812509,-123.7359275,"Willapa Behavioral Health - North Pacific County Office","Located on Ocean Ave (Highway 101) with Valley View Health Center.",FALSE,
90,60,,,,"No description",,,46.3667638,-124.0536816,"Willapa Behavioral Health","North on Pacific Ave between Pioneer Road and 23rd Street.",FALSE,
91,61,,,,"No description",,,46.6605072,-123.789868,"Willapa Harbor Ministerial Association - Pennywise Thrift Shop","Located on the corner of 2nd and Blake Streets.",FALSE,
92,61,,,,"No description",,,46.6357403,-123.6034682,"Willapa Harbor Ministerial Association","No physical location.",FALSE,
93,61,,,,"No description",,,46.6939078,-123.739802,"Willapa Harbor Ministerial Association - Food Pantry","Located at the corner of Park and Larch.  Door is on the side of the Riverside Boutique.",FALSE,
94,62,,,,"No description",dewall@wsu.edu,,47.214975,-123.103716,"WSU - Cooperative Extension, Mason County","Located behind Olsen Furniture. On the corner of 4th and Cedar Streets.",FALSE,
95,63,,,,"No description",info@kitsaphistory.org,,47.5659432,-122.6263236,"Kitsap County Historical Society","From Washington Ave turn onto 4th St (one-way street).  Located on the right near the end of the block between the Roxy and the Amy Burnett Gallery.",FALSE,
96,64,,,,"No description",boilerroommanagerpt@gmail.com,,48.1149939,-122.7546749,"Boiler Room","Located in downtown Port Townsend.",FALSE,
97,65,,,,"No description",POLions1967@hotmail.com,,47.5248539,-122.5788392,"Port Orchard Lions","Club meets at 6:30 pm at Subway:
435 SW Sedgwick Rd, Port Orchard, WA 98367
It is good to call to ensure a special occasion hasn't changed the time/place.",FALSE,
98,65,,,,"No description",lynjac@att.net,,46.8511059,-122.4550248,"Lions Multiple District 19 - Cascades Camp and Conference Center","Located at Cascades Camp and Conference Center.  From Yelm take Bald Hills SE Rd south.  Turn left at the Bald Hills Fire Dept onto Peissner Rd SE.",FALSE,
99,65,,,,"No description",,,47.65805,-122.7120272,"Silverdale Sunrise Lions","It is good to call to ensure a special occasion hasn't changed the time/place.",FALSE,
100,65,,,,"No description",infopoulsbolions@wavecable.com,,47.735928,-122.6465372,"Poulsbo Evening Pride Branch","Meets in the Religious Education Building at St Olaf Church in Poulsbo on the 1st and 3rd Thursdays at 6:30pm.
Call to ensure a special occasion hasn't changed the time/place.",FALSE,
101,65,,,,"No description",intruder510@gmail.com,,47.735928,-122.6465372,"Poulsbo Noon Lions","Lions Club meets at the 1st Lutheran Church in Poulsbo every Thursday at Noon.
It is good to call to ensure a special occasion hasn't changed the time/place.",FALSE,
102,65,,,,"No description",bremertoncentrallions@gmail.com,,47.5685263,-122.6397033,"Bremerton Central Lions","Meets every Wednesday at Noon at Ambrosia Catering.
It is good to call to ensure a special occasion hasn't changed the time/place.",FALSE,
103,65,,,,"No description",,,47.6355461,-122.6447815,"Lions Club - Kitsap","No physical address.",FALSE,
104,65,,,,"No description",carsonsfc@aol.com,,47.65805,-122.7120272,"Silverdale Dandy Lions","2nd and 4th Thursday at 6:45 PM at All Star Lanes in Silverdale, WA
It is good to call to ensure a special occasion hasn't changed the time/place.",FALSE,
105,66,,,,"No description",portangeleslions@gmail.com,,47.9506586,-123.3456072,"Lions Club - Port Angeles","No physical location.",FALSE,
106,66,,,,"No description",,,47.962306,-124.372811,"Lions Club - Forks","No physical location.",FALSE,
107,66,,,,"No description",,,48.0217704,-123.1273844,"Lions Club - Sequim Valley Lions","Call for more information.",FALSE,
108,67,,,,"No description",info@prskitsap.org,,47.6072244,-122.6276561,"Pregnancy Resource Center","Located on State Route 303 on Wheaton Way on the corner of Sheridan Rd, across the street from Albertsons.",FALSE,
109,68,,,,"No description",kitsappflag@yahoo.com,,47.632771,-122.651159," Kitsap PFLAG","Meets at the Family of God Lutheran Church at the corner of Central Valley and Fairgrounds roads.",FALSE,
110,69,,,,"No description",director@sharenetfoodbank.org,,47.799288,-122.5777254,Sharenet,"The food bank is located off Bond Rd NE behind Joe's Automotive",FALSE,
111,69,,,,"No description",sharenetdirector@centurytel.net,,47.7983025,-122.5089141,"Sharenet - Bayside Community Church","From Highway 104 turn right onto NE West Kingston Rd.  Turn right onto Barber Cut Off Rd.",FALSE,
112,70,,,,"No description",,,47.4692099,-122.601144,"Spirit of Life Lutheran Church","Located on the lower level of Spirit of Life Lutheran Church.",FALSE,
113,71,,,,"No description",,,48.084018,-123.114555,"Overeaters Anonymous - Clallam - St Luke's Episcopal Church","Location varies, call for meeting times and locations.",FALSE,
114,71,,,,"No description",,,48.100656,-123.436286,"Overeaters Anonymous - Clallam - St Andrews Episcopal Church","Follow Highway 101 and turn left onto Race St. Turn right on Park Ave by the First Christian Church.  Follow E Park Ave 1/2 mile up first left side driveway after National Park.",FALSE,
115,71,,,,"No description",,,48.1102626,-123.4245818,"Overeaters Anonymous - Clallam - Bethany Pentecostal Church","From E Front Street or E 1st St (Highway 101) turn south onto S Francis St.  Located at the intersection with E 5th St.",FALSE,
116,72,,,,"No description",,,47.567514,-122.629871,"Bremerton Housing Authority","Located on the corner of 6th St and Park Ave.",FALSE,
117,73,,,,"No description",,,47.3129497,-123.4703367,"A Gift For Special Children","Will meet with clients in their own homes or at a convenient location.",FALSE,
118,74,,,,"No description",thedoghouse3091@hotmail.com,,47.269582,-123.096533,"Adopt a Pet","On E Brockdale Rd travel north of Island Lake and turn right on E Jensen Rd.",FALSE,
119,75,,,,"No description",joel@myhhhh.org,,46.978131,-123.884177,"Harbors Home Health and Hospice","Located on the corner of 7th and Levee St.",FALSE,
120,76,,,,"No description",webmaster@dist10.org,,47.65805,-122.7120272,"Alcoholics Anonymous District 10","No physical office.  Call for meeting locations.",FALSE,
121,77,,,,"No description",mainoffice@faithadventure.com,,47.506963,-122.6086908,"Adventure of Faith Church","Turn north on Jackson Ave SE from SE Sedgwick Rd.",FALSE,
122,78,,,,"No description",standrew@olypen.com,,48.100377,-123.435538,"St. Andrew's Place","Follow Highway 101 and turn left onto Race St. Turn right on Park Ave by the First Christian Church.  Follow E Park Ave 1/2 mile up first left side driveway after National Park.",FALSE,
123,79,,,,"No description",compass@compassmin.org,,47.6072244,-122.6276561,"Compassionate Ministries","From Wheaton Way (Highway 303) Turn east on Riddell Rd, then left into the business center.",FALSE,
124,80,,,,"No description",,,46.975661,-123.8383924,"Sea Mar Community Health Center - Grays Harbor","Located on Sumner Ave (Highway 101) between Martin and Conger Streets.",FALSE,
125,80,,,,"No description",,,47.0019942,-124.1611764,"Sea Mar Community Health Center - Ocean Shores","From Highway 109 turn left onto WA-115.  Turn left onto Point Brown Ave.  Clinic will be located on the right.",FALSE,
126,80,,,,"No description",,,46.9756897,-123.8386609,"Sea Mar Community Health Center - Dental Clinic","Located on Sumner Ave (Highway 101) between Martin and Conger Streets.",FALSE,
127,80,,,,"No description",,,47.0035047,-123.4199933,"Sea Mar Community Health Center - Grays Harbor - Maternity Support Services","Located on West Main between 15th and 16th Streets.",FALSE,
128,80,,,,"No description",,,47.0125035,-124.1660797,"Galilean Chapel","Located at the Galilean Chapel.",FALSE,
129,81,,,,"No description",,,46.9744303,-123.8870752,"Grays Harbor County Crisis Clinic","From Simpson Ave (Highway 101) turn south onto 8th St.",FALSE,
130,82,,,,"No description",jodie.jones@usw.salvationarmy.org,,46.9738876,-123.8190027,"Salvation Army - Aberdeen","Located on W Wishkah (Highway 101) between South K and South Broadway Streets.",FALSE,
131,82,,,,"No description",,,46.974044,-123.819035,"Salvation Army - Thrift Store","Located on W Wishkah (Highway 101) between South K and South Broadway Streets.",FALSE,
132,83,,,,"No description",uwgh@techline.com,,46.975516,-123.81714,"United Way of Grays Harbor County","Located near E Market St and S Broadway St.",FALSE,
133,84,,,,"No description",,,,,"G.M. Lauridsen Charity Trust Fund","No physical location.",FALSE,
134,85,,,,"No description",ibc@indbible.org,,48.118747,-123.431664,"Independent Bible Church","Located on S Lincoln St between E Front and E 1st streets.",FALSE,
135,85,,,,"No description",ibc@indbible.org,,48.0937515,-123.4449014,"Independent Bible Church - Family Life Center","Located on E Ahlvers at the top of Laurel St.",FALSE,
136,86,,,,"No description",jacob.wischoff@thecoffeeoasis.com,,47.565239,-122.631196,"Coffee Oasis","Located on Burwell St between Warren and Park Ave.",FALSE,
137,86,,,,"No description",paul.morris@thecoffeeoasis.com,,47.541863,-122.6358219,"Coffee Oasis - Port Orchard","Located next to the Olde Central Antique Mall near the intersection of Bay St and Sidney Ave.",FALSE,
138,86,,,,"No description",,,47.7363816,-122.6390575,"Coffee Oasis - Poulsbo",,FALSE,
139,87,,,,"No description",ffsp.cnrnw@navy.mil,,47.6890303,-122.7033204,"*Main Site  - Fleet and Family Support Program - Bangor Blue Building","From Highway 3 turn onto Trigger Ave.  Pass through the gate and turn right onto Scorpion Ave.  Turn left onto Barbel St.",FALSE,
140,87,,,,"No description",ffsp.cnrnw@navy.mil,,47.6979004,-122.6948943,"Fleet and Family Support Center - Bangor Gold Building ","From Highway 3 turn onto Main Gate Naval Base Kitsap Bangor. Pass through the gate and turn left onto Hunley Road. Turn right onto Tautog Circle.",FALSE,
141,88,,,,"No description",,,48.2623424,-124.3070731,"Clallam County PUD - Clallam Bay / Sekiu",,FALSE,
142,88,,,,"No description",,,47.950826,-124.383967,"Clallam County PUD - Forks",,FALSE,
143,88,,,,"No description",,,48.075385,-123.085716,"Clallam County PUD - Sequim",,FALSE,
144,88,,,,"No description",,,48.1051948,-123.3876853,"Clallam County PUD",,FALSE,
145,89,,,,"No description",,,47.5669819,-122.6257395,"Kitsap Public Health District","Located on the corner of 6th St and Pacific Ave, in the Norm Dicks Government Center on the 3rd level.",FALSE,
146,90,,,,"No description",,,48.111515,-123.43351,"Alzheimer's Caregivers Support Group","Located in the Port Angeles Senior Center on the SW corner of 7th and Peabody Streets.",FALSE,
147,91,,,,"No description",ckfoodbank@silverlink.net,,47.649113,-122.699211,"Central Kitsap Food Bank","Located on Anderson Hill Rd about half way between Central Kitsap High School and Silverdale Way.",FALSE,
148,92,,,,"No description",serenity@olypen.com,,48.1214215,-123.4889638,"Serenity House of Clallam County - Administrative Office","Located on W 18th Street near the corner 'N' Street.",FALSE,
149,92,,,,"No description",westendvista@yahoo.com,,47.9485524,-124.3930238,"Serenity House Housing Resource Center - Forks","From N Forks Ave (Highway 101) turn west onto Bogachiel Way  Across from the hospital, turn left onto Founders Way, office is in Burke Place Apartments, on the right.",FALSE,
150,92,,,,"No description",sequimhrc@yahoo.com,,48.0796892,-123.1154365,"Serenity House Housing Resource Center - Sequim","In Serenity Square across from Serenity House Thrift Store.",FALSE,
151,92,,,,"No description",serenity@olypen.com,,48.123246,-123.492111,"Serenity House of Clallam County - Single Adult Services","From W Front St take the Tumwater Truck Rd (Highway 117).  Turn right onto W Lauridsen Blvd.  Turn right onto South L St.  Turn left onto W 18th St.  Shelter is located on the right after passing South N St.",FALSE,
152,92,,,,"No description",portangeleshrc@yahoo.com,,48.115394,-123.425538,"Serenity House Housing Resource Center - Port Angeles","Located on the right-hand side of First St. (1-way eastbound) between Vine and Albert Streets.",FALSE,
153,92,,,,"No description",serenity@olypen.com,,48.1156935,-123.4261767,"Serenity House of Clallam County - Serenity Thrift Store - Port Angeles","Located on the corner of W 1st and S Vine Streets across from the Post Office.",FALSE,
