id,location_id,program_id,accepted_payments,alternate_name,description,eligibility,email,fees,funding_sources,application_process,interpretation_services,keywords,languages,name,required_documents,service_areas,status,wait_time,website,taxonomy_ids
11,5,,,,"Offers a free clothing bank from M-F, 3pm-4:30pm to males at the 405 East Heron facility. There is a clothing bank for women and children open on the second and fourth Friday of the month, 1pm-3pm at the 513 North G Street facility.   Guests can also access showers during these times.","No restrictions.",laurel@ugmgraysharbor.org,None.,,"Walk in during clothing bank hours or call for more information.",,,,Clothing,,"Pacific,Grays Harbor",active,,http://www.ugmgraysharbor.org,"B,BM,BM-6500,BM-6500.1500,BM-6500.1500-120,BM-6500.1500-250"
12,5,,,,"Friendship House, is the 38 bed women and children’s shelter of the Union Gospel Mission. It is located at 513 North G Street in Aberdeen, Washington. If you are a women in need of a place to stay, call (360) 533-2221 or just show up.  There is an age limit on male children, so if you have questions, call ahead.
","Must have ID if available and acknowledge and abide by the rules of the house.",laurel@ugmgraysharbor.org,None.,,"Call ahead to 360-533-2221 or just show up at 513 North G in Aberdeen WA",,,,"Friendship House Women's Shelter",,"Grays Harbor,Pacific",active,,http://www.ugmgraysharbor.org,"B,BH,BH-1800,BH-1800.8500,BH-1800.8500-150"
13,5,,,,"UGM and Friendship House offers a one year voluntary, life-transforming, faith-based recovery program for any man or woman that wants to break destructive cycles in their life.","Must make an appointment with contacts listed.",laurel@ugmgraysharbor.org,None,,"Men:  Contact Gary Rowell, Executive Director; 360-533-1064.
Women:  Contact Paula Rowell, Director at Friendship House; 360-533-2221.",,,,"New Foundation Program",,"Grays Harbor",active,,http://ugmgraysharbor.org/?page_id=111,"R,RX,RX-8500,RX-8500.6500"
14,5,,,,"Showers for males are available daily 3pm-5pm at 405 East Heron. Women and children may shower M-F, 1pm-3pm at 513 North G Street.  Personal hygiene items such as toothbrush, toothpaste, razor, aftershave, and deodorant are provided when available.","No restrictions.",laurel@ugmgraysharbor.org,None.,,"Call or walk in for assistance.",,,,Showers,,"Grays Harbor,Pacific",active,,http://www.ugmgraysharbor.org,"B,Y,BM,YZ,BM-6500,YZ-3100,BM-6500.6500,BM-6500.6500-150,BM-6500.6500-650"
15,6,,,,"This program provides employment support services for persons with disabilities. This can include job coaching, training, employment barriers identification, and more.
","People with disabilities.",craigd@coastalcap.org,None,,"Call for more information.",,,,"Coastal Supported Employment",,"Grays Harbor,Pacific",active,,http://www.coastalcap.org,"N,Y,ND,YZ,ND-2000,ND-9000,YZ-1950,ND-2000.3500,ND-2000.3500-150"
16,6,,,,"Provides post-disaster clearinghouse and coordination for community needs including home repair, emergency food, housing, disaster cleanup, and emergency relief.","No restrictions.",craigd@coastalcap.org,None.,,"Call for assistance.",,,,"Disaster Response",,"Grays Harbor",active,,,"T,Y,TH,YX,TH-1700,TH-2600,TH-2900,YX-1800,TH-1700.1800,TH-2600.1550,TH-2600.6450,TH-2900.1700,TH-2900.6400,YX-1800.2100,TH-1700.1800-220,TH-1700.1800-450,TH-2600.6450-170,TH-2900.6400-630"
17,6,,,,"Housing and Essential Needs Grant Funds
Grant funds can only be used to support HEN eligible clients that qualify as homeless or at-risk of homelessness.  Allowable financial assistance for housing may include monthly rent, overdue rent, security deposit, and service animal deposits.  Utilities assistance is limited to electricity, natural gas, sewer, water, garbage, and utility deposits.

Essential Needs
Essential Needs assistance includes help with obtaining personal health and hygiene items (such as toothpaste, shampoo, toilet paper), cleaning supplies (such as laundry and dish soap), and bus passes.  Assistance cannot be provided through gift cards, vouchers, or certificates.  All HEN clients are eligible to receive essential needs assistance.","Assistance limited only to clients that have been determined by DSHS to be eligible for HEN - Housing and Essential Needs Assistance.  Agency will verify that the client is eligible for HEN, and assess the client's risk of homelessness to determine if the",craigd@coastalcap.org,None.,,"Clients must call to make an appointment.",,,,"HEN - Housing and Essential Needs",,"Grays Harbor",active,,,"B,N,BH,BM,BT,BV,NL,BH-3800,BM-6500,BT-8300,BV-8900,NL-1000,BH-3800.7000,BH-3800.7250,BM-6500.6500,BT-8300.1000,BV-8900.9150,BV-8900.9300,NL-1000.3000,BM-6500.6500-455,BM-6500.6500-650,BV-8900.9300-180,BV-8900.9300-250,BV-8900.9300-860,BV-8900.9300-950"
18,6,,,,"This CCAP program provides assistance to low-income households to make home heating more affordable. The program can assist in avoiding shutoff of utility services during the winter and maintain a warm and safe home environment. Furnace repair/replacement is also available for home-owners","Low income.",craigd@coastalcap.org,None,,"Call for more information.",,,,"Home Heating Assistance",,"Grays Harbor,Pacific",active,,http://www.coastalcap.org,"B,P,BV,PH,BV-8900,PH-3300,BV-8900.9300,PH-3300.2750,BV-8900.9300-300,PH-3300.2750-220"
19,6,,,,"Our weatherization program is for low-income families and individuals. Our professional crew will insulate attics, walls, and floors. The crew will also conduct air duct sealing and minor repairs related to weatherization based on the need of the structure and the ability of the weatherization programs","Low income families and individuals.",craigd@coastalcap.org,"Call for more information.",,"Call for more information.",,,,"Home Weatherization",,"Grays Harbor,Pacific",active,,http://www.coastalcap.org,"B,BH,BH-3000,BH-3000.1800,BH-3000.1800-950"
20,6,,,,"This program provides rental, mortgage and utility assistance to individuals with HIV/AIDS. Case management services and supportive services are available through the HIV/AIDS Care Consortium.","People who are HIV Positive.",craigd@coastalcap.org,None,,"Call for more information.",,,,"Housing Opportunities for People with AIDS",,"Grays Harbor,Pacific",active,,http://www.coastalcap.org,"B,BH,BV,BH-3800,BV-8900,BH-3800.7000,BV-8900.9300,BV-8900.9300-180,BV-8900.9300-250,BV-8900.9300-300,BV-8900.9300-850,BV-8900.9300-950"
21,6,,,,"CCAP provides services to children and people with developmental needs as well as the elderly. Services vary according to the needs of the client, including:

Housework 
Laundry 
Personal care 
Meal Preparation 
Medication Reminders 
Transportation to physician appointments 
24 hour care 
Protective supervision is also provided when needed. 

Our services are available to both State of Washington and private pay clients. Services are available 7 days a week, 24 hours a day with advance notice. 
Phone # 360-533-5100","People with developmental needs and people 60 years of age or older.",craigd@coastalcap.org,"Accepts private and Medicaid/Medicare.",,"Call for more information.",,,,"In-Home Care Assistance",,"Grays Harbor,Pacific",active,,http://www.coastalcap.org,"B,P,BT,PH,BT-4500,PH-3300,BT-4500.6500,PH-3300.1800,PH-3300.3100,PH-3300.3220,PH-3300.6500,BT-4500.6500-500"
22,6,,,,"This program provides financial assistance to help income-eligible households make home heating more affordable, avoid shut-off of utilities services during the winter, and maintain a warm and safe environment.","Call for more information.",craigd@coastalcap.org,None.,,"Call to make an appointment.  Call last week of November to register for December assistance.",,,,"LIHEAP - Energy Assistance",,"Grays Harbor,Pacific",active,,http://www.coastalcap.org/housing.html,"B,BV,BV-8900,BV-8900.9300,BV-8900.9300-180,BV-8900.9300-250,BV-8900.9300-300"
23,6,,,,"This program recruits, trains and retains volunteers to advocate for residents of long-term care facilities. The volunteers are assigned to facilities and visit their residents weekly.

","Call for more information.",craigd@coastalcap.org,None,,"Call for more information.",,,,"Long-Term Care Ombudsman Program",,"Pacific,Grays Harbor",active,,http://www.coastalcap.org,"P,PX,PX-1850"
24,6,,,,"Hot, nutritious meals served on weekdays at a variety of centralized meal sites for seniors (over 60 years of age).","60 years of age or older.",craigd@coastalcap.org,"Call for more information.",,"Call for more information.",,,,"Meal Sites",,"Grays Harbor,Pacific",active,,http://www.coastalcap.org,"B,BD,BD-5000,BD-5000.1500"
25,6,,,,"Nutritious delivered meals to home-bound seniors (60 years of age or older). Frozen meals delivered in the rural areas and on weekends.","Homebound seniors.",craigd@coastalcap.org,"Call for more information.",,"Call for more information.",,,,"Meals on Wheels",,"Grays Harbor,Pacific",active,,http://www.coastalcap.org,"B,BD,BD-5000,BD-5000.3500"
26,6,,,,"Job access program helps low-income individuals with transportation to job sites that are off the main transit lines, or are during hours when Grays Harbor transit is not available. This program also assists in getting individuals in retraining programs i to their schools or training sites, and low-income families and their children to daycare when the parent is working.","Low income.",craigd@coastalcap.org,None,,"Call for more information.",,,,"Off Grid / After Hours Job and Daycare Access",,"Grays Harbor,Pacific",active,,http://www.coastalcap.org,"B,BT,BT-4500,BT-4500.6500,BT-4500.6500-120,BT-4500.6500-280"
27,6,,,,"Private Fuel Fund

The Coastal Community Action Program administers two private fuel funds that rely on donations from the community. 100% of the donated funds are used to pay for heating bills for low-income families living in Grays Harbor County.

 PROJECT HELP:  A partnership with Grays Harbor PUD to assist  with disconnected bills or deposits up to $150.00. 
 WINTER HELP: A partnership with Cascade Gas to assist with disconnect gas bills or deposits.","Low income.",craigd@coastalcap.org,None,,"Call for more information.",,,,"Private Fuel Fund",,"Grays Harbor,Pacific",active,,http://www.coastalcap.org,"B,BV,BV-8900,BV-8900.9300,BV-8900.9300-300"
28,6,,,,"Coastal Community Action Program offers limited rental/mortgage assistance offered to persons who are homeless or have a 3-5 day eviction notice.","Must be homeless or have an eviction notice.",craigd@coastalcap.org,None,,"Call for more information.",,,,"Rental Assistance",,"Grays Harbor,Pacific",active,,http://www.coastalcap.org,"B,BH,BH-3800,BH-3800.5000,BH-3800.7000"
29,6,,,,"This program is designed to provide short-term, facility-based shelter services for homeless families with children. Families will be required to participate in a short-term case management program to assist them in finding and retaining permanent, affordable housing and securing income.
","Homeless families with children.",craigd@coastalcap.org,None,,"Call for more information.",,,,"Shelter Assistance",,"Grays Harbor,Pacific",active,,http://www.coastalcap.org,"B,BH,BH-1800,BH-8600,BH-1800.8500,BH-1800.8500-150"
30,6,,,,"Offers free basic school supplies to to children in Grays Harbor and Pacific Counties.  Children do not have to be present for supply pickup.

==Grays Harbor==
Ocean Shores Food Bank - 846 Anchor Ave NW - Aug 15th, 1:30pm-5pm
Oakville Food Bank - 403 Temple St - Aug 21st, 9am-11am
Westport Food Bank - 314 N Broadway - Aug 22nd, 9am-11am
Montesano Food Bank - 213 W Spruce St - Aug 23rd, 1pm-3pm
Elma - East County Food Bank - 106 W Main St - Aug 26th, 1pm-4pm
McCleary Food Bank - 100 S 3rd St - Aug 26th, 9am-11am
Copalis Beach Food Bank - 3137 Highway 109 - Aug 28th, 1:30pm-5pm
Aberdeen/Hoquiam - South Shore Mall Suite 114 - Aug 28th, 10am-3pm

==Pacific==
Raymond/Willapa Valley/South Bend - Pacific County Senior Center - 324 Jackson St, Raymond - Aug 20th, 10am-2pm
Long Beach/Ilwaco - CCAP Ilwaco 152 First Ave - Aug 27th, 1pm-5pm","For low-income children in grades K-12.",craigd@coastalcap.org,None.,,"Walk in during distribution time.",,,,"Student Needs Assessment Program",,"Grays Harbor",active,,http://www.coastalcap.org,"H,HL,HL-8120,HL-8120.7800,HL-8120.7800-200"
31,6,,,,"This is a scattered site transitional housing program serving homeless families with children. This program is designed to help families locate and maintain stable housing, provide families with case management services and assist them in setting long-term goals to achieve self-sufficiency.","Homeless families with children.",craigd@coastalcap.org,"Call for more information.",,"Call for more information.",,,,"Transitional Housing",,"Grays Harbor,Pacific",active,,http://www.coastalcap.org,"B,BH,BH-8600"
32,6,,,,"This is a client-focused program designed to meet the individual needs of families by providing emergency services such as prescriptions, dental services, gas vouchers for employment or medical concerns, payment of water bills and medical supplies.
","Call for more information.",craigd@coastalcap.org,None,,"Call for more information.",,,,"United Way Emergency Fund",,"Pacific,Grays Harbor",active,,http://www.coastalcap.org,"B,L,BT,BV,LH,BT-8300,BV-8900,LH-5000,LH-5100,BT-8300.2500,BV-8900.9300,LH-5000.6200,LH-5100.1700,LH-5100.6500,BV-8900.9300-950"
33,6,,,,"Community Jobs program is a 6-month on-the-job training program for which participants get paid minimum wage. The purpose of the program is to provide job training, paid schooling, and assistance identifying any employment barriers that an individual may have.",Anyone,craigd@coastalcap.org,None,,"Call for more information.",,,,"WorkFirst Community Jobs",,"Pacific,Grays Harbor",active,,http://www.coastalcap.org,"N,ND,ND-2000,ND-2000.3500,ND-2000.3500-630"
34,7,,,,"Offers food assistance to the Brinnon area.  Located at the corner of Schoolhouse and Corey Lane, in the Booster Club Building. If food is needed in an emergency situation contact Judy the food bank director at (360) 796-4366.","No restrictions.",langenbachme@earthlink.net,None.,,"Walk in for assistance.  If food is needed in an emergency situation contact Judy the food bank director at (360) 796-4366.",,,,"Food Bank",,Jefferson,active,,,"B,BD,BD-1800,BD-1800.2000"
35,8,,,,"Makes a one-time payment of $255 can be paid to the surviving spouse if he or she was living with the deceased; or, if living apart, was receiving certain Social Security benefits on the deceased's record. 
If there is no surviving spouse, the payment is made to a child who is eligible for benefits on the deceased's record in the month of death.
The lump-sum payment is in addition to any monthly survivors insurance benefits that may be due.","
Survivors of workers who die with sufficient quarters of coverage. 
Payment is only made to the surviving spouse, minor child or a disabled child receiving benefits.",,"
None.",,"
Call for assistance.",,,,"Burial Benefits",,"Kitsap,Mason",active,,http://www.ssa.gov/pubs/10008.html,"N,NS,NS-1000,NS-1000.8000"
36,8,,,,"Offers Medicare prescription drug insurance that covers both brand-name and generic prescription drugs at participating pharmacies.
Many Part D plans are available with varying monthly premiums and deductibles. 
Monthly premiums and deductibles vary each year. 
Different plans cover varying medications with differing costs.
Those who have drug coverage through an employer, union or any other source should check with their current plan to see if their coverage is considered as good or better than Part D benefits.

Assistance with choice of plan:
-  There are several ways to choose a prescription drug plan.  
-  Medicare offers an online tool to help enrollees choose between plans at www.medicare.gov.  
-  Callers can also obtain this information by calling Medicare. 
-  Medicare staff are not permitted to advise callers which plan to choose.","
Everyone with Medicare is eligible regardless of income and resources, health status or current prescription expenses.",,"
Monthly premiums and deductibles have variable annual range.",,"
Enrollment is open from November 15th through December 31st each year and enrollees may change plans during this time. 
For information about Medicare Part D, call or access Medicare's website at www.medicare.gov. 
Applicants may enroll online in thei",,,,"Medicare Part D",,"Mason,Kitsap",active,,http://www.socialsecurity.gov/medicare/apply.html,"L,N,LH,NS,LH-3500,NS-8000,LH-3500.5000,NS-8000.5000,NS-8000.5000-560"
37,8,,,,"Offers hospital insurance (Part A), medical insurance (Part B)  for individuals meeting eligibility requirements.

Hospital Insurance (Part A): 
-  Helps pay costs above deductible and applicable co-payment per benefit period. 
-  Covers inpatient hospital care and, when medically necessary after a hospital stay, inpatient care in a skilled nursing facility, home health care, the cost of drugs, supplies, appliances, equipment, and any other services ordinarily furnished to inpatients of the hospital or skilled nursing facility. 
-  Also may pay for hospice care. 

Medical Insurance (Part B): 
-  Helps pay for the following: Physician's services, outpatient hospital services in an emergency room or an outpatient clinic of a hospital, home health visits, outpatient physical and speech therapy, and other medical services prescribed by a doctor, such as diagnostic services, x-ray or other radiation treatments, some ambulatory services, surgical dressing, splints, casts and braces.

Medicare Issues Hotline: 
-  Discusses topics related to Medicare such as coverage, Medigap (Supplemental) insurance, complaints, fraud, abuse or waste of money. 
-  Talk with a customer service representative 24 hours daily. 
-  Medicare clients may also hear a recording with answers to frequently asked questions or order publications 24 hours daily.","
Varies by program with age and disability status restrictions.",,"
Hospital Insurance (Part A): 
No premiums if applicant is eligible for Social Security; non-Social Security recipients may pay premium. 

Medical Insurance (Part B): 
Patient pays a premium, a yearly deductible amount and a coinsurance amount for ea",,"
Call to make an appointment. 
Additionally access the website for information. 
Apply for Medicare no later than the month before 65th birthday so it will begin at age 65. 
Once enrolled, patients should always find out beforehand whether their hospi",,,,"Medicare Parts A & B",,"Kitsap,Mason",active,,http://www.socialsecurity.gov/medicare/apply.html,"L,N,LH,NS,LH-3500,NS-8000,LH-3500.5000,NS-8000.5000,NS-8000.5000-560"
38,8,,,,"Provides monthly cash payments for people age 62 and older who are fully insured. Benefit amounts depend upon wages earned and the number of quarters of coverage credited to the individual's Social Security record.

Handles requests for Social Security numbers, claims, etc. 
Also handles late Social Security check inquiries. 
Clients should wait until the 6th of each month to receive a check; check renewal takes an average of two to three weeks.

This program is based on taxes paid into the Social Security  system by workers. 
Taxes pay for Social Security benefits and for part of Medicare coverage. 

Some businesses offer Social Security name changes or cards for a fee. 
Social Security provides those services and more for free. 
Do not pay for something we will give you free. 
Social Security is the best place to get information about Social Security.","
Social Security retirement benefits are paid to adults, ages 62 and older, who have worked long enough to be eligible for coverage. 
Workers may retire at age 62 and receive a reduced benefit or may wait until age 65 and receive a full benefit. 
Certa",,"
None.",,"
Call for an appointment or visit office. 
Retirement applications can also be completed online.

Certain documents may be required such as 
-  Social Security number, 
-  Birth certificate or marriage certificate (if applying on spouse's record). ",,,,"Social Security",,"Kitsap,Mason",active,,http://www.ssa.gov,"D,N,DF,NS,DF-7000,NS-7000,NS-8200,DF-7000.8250,NS-7000.8000,NS-8200.8000"
39,8,,,,"Provides monthly checks for people who have worked in the past and who are now unable to work because of a disability. 
SSDI checks may start at the sixth full month of the disability, although claims may be filed before that time. 
Claims may also be filed for up to 12 months retroactively. 
Individuals with disabilities may qualify for vocational rehabilitation services which could result in a return to work. 
Recipients of SSDI may also be eligible for Medicare benefits.

Social Security Administration offers a new Compassionate Allowances initiative that benefits people with certain rare diseases. 
This initiative will fast-track applications for Social Security disability for applicants with any of 25 rare diseases and 25 cancers whose medical conditions are very severe. 
Currently, many people with rare diseases experience lengthy delays when they apply for Social Security assistance because those making the decisions are not familiar with their diseases. 

Social Security Disability Insurance (SSDI) is financed with Social Security taxes paid by workers, employers, and self-employed persons. 
To be eligible for a Social Security benefit, the worker must earn sufficient credits based on taxable work to be ""insured"" for Social Security purposes. 
Disability benefits are payable to blind or disabled workers, widow(er)s, or adults disabled since childhood, who are otherwise eligible. 
The amount of the monthly disability benefit is based on the Social Security earnings record of the insured worker.","
SSDI applicants must have worked a total of five years in the past 10 years and earned enough credits to become ""insured."" 
Applicants must have a severe disability that prohibits applicant from working for at least 12 months or results in death. 
SSD",,"
None.",,"
Call for an appointment at your local Social Security office or apply online.
To speed up the claim process, collect medical records, laboratory and test results, names and phone numbers of doctors and clinics, names of medications and names of employe",,,,"Social Security Disability Insurance - SSDI",,"Kitsap,Mason",active,,http://www.socialsecurity.gov/dibplan/index.htm,"N,Y,NS,YF,NS-1800,NS-1800.8000,NS-1800.8000-820"
40,8,,,,"Provides monthly checks to people who are elderly, disabled and/or blind and meet other program eligibility guidelines. 
The basic monthly check is the same in all states;  some states add money to the basic rate. 
If the recipient's check is late, call to determine if the check was sent. 
New payment will be authorized after a form is filled out. 
New checks take about 10-15 business days to arrive. 

Applicants for SSI will be asked if they want to apply for food benefits, and may choose the Basic Food Benefits plan or WASHCAP (Washington State Combined Application Program) benefits. 
WASHCAP is a joint effort between the Social Security Administration and DSHS to simplify the way food assistance is delivered to SSI recipients.
WASHCAP recipients benefit because they
-  Need only contact SSA to report changes in their circumstances
-  Are certified for benefits for 24 months
-  May receive a larger monthly benefit","
SSI benefits are paid to eligible low-income clients, ages 65 and older or younger than age 65 and are blind or disabled.
SSI recipients are eligible for WA Apple Health (Medicaid) and may be eligible for Social Security and food stamps.

WASHCAP is ",,"
None.",,"
Call, visit or access website. 
Applicants for SSI will be asked if they want to apply for food benefits, and may choose the Basic Food Benefits plan or WASHCAP (Washington State Combined Application Program) benefits.
WASHCAP combines the SSI applica",,,,"Supplemental Security Income - SSI/WASHCAP",,"Kitsap,Mason",active,,http://www.socialsecurity.gov/disabilityssi/ssi.html,"N,Y,NL,YF,NL-1000,NL-1000.8100,NL-1000.8100-820"
41,9,,,,"Assists low income South Kitsap residents with food, no one leaves hungry.  The last food service will be taken in the intake office at 3:20pm.  If your children are eligible for free or reduced-fare school lunches and you have 3 or more children at home, please sign up for the ""End Summer Hunger Program.""","No restrictions.",jennifer@skhelpline.org,None.,,"Walk in for assistance.  Please provide photo ID and proof of address.",,,,"Food Bank",,Kitsap,active,,http://www.skhelpline.org,"B,P,T,BD,PX,TI,BD-1800,PX-2400,TI-1800,BD-1800.2000,TI-1800.2000,TI-1800.6700,TI-1800.8100"
42,11,,,,"NOT A SHELTER.  Programs are staffed by outreach workers, working in conjunction with local school districts who spend time with at-risk/homeless youth, build relationships with them, identify and address their immediate needs (e.g., crisis intervention, food, clean clothing, hygiene kits, blankets, someone to listen) and provide information about and linkage to longer-term forms of support such as shelter, counseling, drug and alcohol detoxification and rehabilitation, care/case management.  Youth in need do not have to be enrolled in school.","For homeless youth in Kitsap County.",bremerton@standupforkids.org,None.,,"Call for more information or to make donations.",,,,"Homeless Youth Street Outreach",,Kitsap,active,,http://www.standupforkids.org,"P,R,T,Y,PH,RP,TI,YV,PH-8000,RP-1400,TI-1800,YV-3000,RP-1400.8000,TI-1800.1500,TI-1800.6700,YV-3000.8000,RP-1400.8000-750,TI-1800.1500-250"
